"fips","SCC","Pollutant","Emissions","type","year","county"
"228","04013","2201070270","PM25-PRI",0.784605,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"229","04013","223007527T","PM25-PRI",0.05,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"230","04013","2201070270","PM25-PRI",13.7616,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"231","04013","220100127B","PM25-PRI",16.91,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"232","04013","223007515B","PM25-PRI",0.00469217370657,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"233","04013","220104033T","PM25-PRI",0.69,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"234","04013","223007413T","PM25-PRI",0.36,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"235","04013","220108019T","PM25-PRI",0.0005241697,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"236","04013","220108017T","PM25-PRI",0.0045963861,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"237","04013","223007415B","PM25-PRI",0.09,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"238","04013","223007429B","PM25-PRI",1.09,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"239","04013","2201080110","PM25-PRI",0.0860785,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"240","04013","2230072210","PM25-PRI",0.0269636,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"241","04013","220108021T","PM25-PRI",0.0010504472,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"242","04013","220107015T","PM25-PRI",0.09,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"243","04013","220108021B","PM25-PRI",0.0055710833,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"244","04013","2201020190","PM25-PRI",0.152452,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"245","04013","223006025X","PM25-PRI",15.49,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"246","04013","223006029B","PM25-PRI",0.48,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"247","04013","220107017T","PM25-PRI",0.01,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"248","04013","223007419X","PM25-PRI",1.29,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"249","04013","220107021X","PM25-PRI",0.42,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"250","04013","220108023X","PM25-PRI",0.3,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"251","04013","220107021X","PM25-PRI",1.04,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"252","04013","223007531B","PM25-PRI",0.02,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"253","04013","2201001150","PM25-PRI",0.295159,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"254","04013","2201080290","PM25-PRI",0.0285118,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"255","04013","2230073330","PM25-PRI",0.408859,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"256","04013","2201020250","PM25-PRI",14.2473,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"257","04013","223007517X","PM25-PRI",0.55,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"258","04013","223007319B","PM25-PRI",0.00778416968969,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"259","04013","2230060230","PM25-PRI",0.539628,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"260","04013","220107027X","PM25-PRI",20.33,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"261","04013","220107029X","PM25-PRI",8.7,"ON-ROAD",2002,"Maricopa County (Phoenix)"
"262","04013","2201070210","PM25-PRI",0.1273,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"263","04013","2201080250","PM25-PRI",0.0375965,"ON-ROAD",2008,"Maricopa County (Phoenix)"
"264","04013","223007323T","PM25-PRI",0.22,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"265","04013","220104027B","PM25-PRI",3.84,"ON-ROAD",1999,"Maricopa County (Phoenix)"
"266","04013","223007325B","PM25-PRI",0.68,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"267","04013","223007325X","PM25-PRI",26.93,"ON-ROAD",2005,"Maricopa County (Phoenix)"
"268","04013","220104029B","PM25-PRI",1.95,"ON-ROAD",1999,"Maricopa County (Phoenix)"
